"text","transcription",lang,text2,transcription2,lang2,"translation","category","partOfSpeech"
"exist","[ɪgˈzɪst]",,,,,"существовать","Наличие/отсутствие, принадлежность","Глаголы"
"include","[ɪnˈkluːd]",,,,,"включать","Наличие/отсутствие, принадлежность","Глаголы"
"exclude","[ɪksˈkluːd]",,,,,"исключать","Наличие/отсутствие, принадлежность","Глаголы"
"add","[æd]",,,,,"добавлять","Наличие/отсутствие, принадлежность","Глаголы"
"enter","[ˈɛntə]",,,,,"входить","Наличие/отсутствие, принадлежность","Глаголы"
"share","[ʃeə]",,,,,"делиться","Наличие/отсутствие, принадлежность","Глаголы"
"remove","[rɪˈmuːv]",,,,,"удалять","Наличие/отсутствие, принадлежность","Глаголы"
"receive","[rɪˈsiːv]",,,,,"получать","Наличие/отсутствие, принадлежность","Глаголы"
"lose (lost, lost)","[luːz]",,,,,"терять","Наличие/отсутствие, принадлежность","Глаголы"
"find (found, found)","[faɪnd]",,,,,"найти","Наличие/отсутствие, принадлежность","Глаголы"
"have (had, had)","[hæv]",,,,,"иметь","Наличие/отсутствие, принадлежность","Глаголы"
"be present","[bi ˈprɛznt]",,,,,"присутствовать","Наличие/отсутствие, принадлежность","Глаголы"
"be absent","[bi ˈæbsənt]",,,,,"отсутствовать","Наличие/отсутствие, принадлежность","Глаголы"
"get (got, got/gotten)","[gɛt]",,,,,"получить","Наличие/отсутствие, принадлежность","Глаголы"
"take (took, taken)","[teɪk]",,,,,"брать","Наличие/отсутствие, принадлежность","Глаголы"
"give (gave, given)","[gɪv]",,,,,"давать","Наличие/отсутствие, принадлежность","Глаголы"
"return","[rɪˈtɜːn]",,,,,"возвращать","Наличие/отсутствие, принадлежность","Глаголы"
"join","[ʤɔɪn]",,,,,"присоединять","Наличие/отсутствие, принадлежность","Глаголы"
"involve","[ɪnˈvɒlv]",,,,,"вовлекать","Наличие/отсутствие, принадлежность","Глаголы"
"release","[rɪˈliːs]",,,,,"выпускать","Наличие/отсутствие, принадлежность","Глаголы"
"own","[əʊn]",,,,,"владеть","Наличие/отсутствие, принадлежность","Глаголы"
"gain","[geɪn]",,,,,"набирать","Наличие/отсутствие, принадлежность","Глаголы"
"emerge","[ɪˈmɜːʤ]",,,,,"появляться","Наличие/отсутствие, принадлежность","Глаголы"
"expand","[ɪksˈpænd]",,,,,"расширять (-ся)","Наличие/отсутствие, принадлежность","Глаголы"
"disappear","[ˌdɪsəˈpɪə]",,,,,"исчезать","Наличие/отсутствие, принадлежность","Глаголы"
"obtain","[əbˈteɪn]",,,,,"получать","Наличие/отсутствие, принадлежность","Глаголы"
"belong","[bɪˈlɒŋ]",,,,,"принадлежать","Наличие/отсутствие, принадлежность","Глаголы"
"limit","[ˈlɪmɪt]",,,,,"ограничивать","Наличие/отсутствие, принадлежность","Глаголы"
"spread (spread, spread)","[sprɛd]",,,,,"распространять","Наличие/отсутствие, принадлежность","Глаголы"
"extend","[ɪksˈtɛnd]",,,,,"расширять","Наличие/отсутствие, принадлежность","Глаголы"
"acquire","[əˈkwaɪə]",,,,,"получать","Наличие/отсутствие, принадлежность","Глаголы"
"abandon","[əˈbændən]",,,,,"покидать","Наличие/отсутствие, принадлежность","Глаголы"
"arise (arose, arisen)","[əˈraɪz]",,,,,"возникать","Наличие/отсутствие, принадлежность","Глаголы"
"possess","[pəˈzɛs]",,,,,"обладать","Наличие/отсутствие, принадлежность","Глаголы"
"leave (left, left)","[liːv]",,,,,"оставить","Наличие/отсутствие, принадлежность","Глаголы"
"occupy","[ˈɒkjʊpaɪ]",,,,,"занимать","Наличие/отсутствие, принадлежность","Глаголы"
"work","[wɜːk]",,,,,"работать","Работа, сотрудничество","Глаголы"
"keep (kept, kept)","[kiːp]",,,,,"хранить","Работа, сотрудничество","Глаголы"
"help","[hɛlp]",,,,,"помогать","Работа, сотрудничество","Глаголы"
"write (wrote, written)","[raɪt]",,,,,"писать","Работа, сотрудничество","Глаголы"
"provide","[prəˈvaɪd]",,,,,"обеспечивать","Работа, сотрудничество","Глаголы"
"pay (paid, paid)","[peɪ]",,,,,"платить","Работа, сотрудничество","Глаголы"
"lead (led, led)","[liːd]",,,,,"возглавлять","Работа, сотрудничество","Глаголы"
"create","[kri(ː)ˈeɪt]",,,,,"создавать","Работа, сотрудничество","Глаголы"
"serve","[sɜːv]",,,,,"служить","Работа, сотрудничество","Глаголы"
"build (built, built)","[bɪld]",,,,,"строить","Работа, сотрудничество","Глаголы"
"develop","[dɪˈvɛləp]",,,,,"разрабатывать","Работа, сотрудничество","Глаголы"
"base","[beɪs]",,,,,"базировать, размещать","Работа, сотрудничество","Глаголы"
"realize","[ˈrɪəlaɪz]",,,,,"осознавать","Работа, сотрудничество","Глаголы"
"save","[seɪv]",,,,,"сохранять","Работа, сотрудничество","Глаголы"
"fail","[feɪl]",,,,,"терпеть неудачу","Работа, сотрудничество","Глаголы"
"check","[ʧɛk]",,,,,"проверять","Работа, сотрудничество","Глаголы"
"design","[dɪˈzaɪn]",,,,,"разрабатывать","Работа, сотрудничество","Глаголы"
"claim","[kleɪm]",,,,,"предъявлять претензии","Работа, сотрудничество","Глаголы"
"establish","[ɪsˈtæblɪʃ]",,,,,"устанавливать","Работа, сотрудничество","Глаголы"
"maintain","[meɪnˈteɪn]",,,,,"поддерживать","Работа, сотрудничество","Глаголы"
"head","[hɛd]",,,,,"руководить","Работа, сотрудничество","Глаголы"
"control","[kənˈtrəʊl]",,,,,"контролировать","Работа, сотрудничество","Глаголы"
"apply","[əˈplaɪ]",,,,,"подавать заявление","Работа, сотрудничество","Глаголы"
"manage","[ˈmænɪʤ]",,,,,"управлять","Работа, сотрудничество","Глаголы"
"perform","[pəˈfɔːm]",,,,,"выполнять","Работа, сотрудничество","Глаголы"
"improve","[ɪmˈpruːv]",,,,,"улучшать","Работа, сотрудничество","Глаголы"
"sign","[saɪn]",,,,,"подписывать","Работа, сотрудничество","Глаголы"
"test","[tɛst]",,,,,"тестировать","Работа, сотрудничество","Глаголы"
"prevent","[prɪˈvɛnt]",,,,,"предотвращать","Работа, сотрудничество","Глаголы"
"publish","[ˈpʌblɪʃ]",,,,,"публиковать","Работа, сотрудничество","Глаголы"
"achieve","[əˈʧiːv]",,,,,"достигать","Работа, сотрудничество","Глаголы"
"conduct","[kənˈdʌkt]",,,,,"проводить","Работа, сотрудничество","Глаголы"
"attend","[əˈtɛnd]",,,,,"участвовать, посещать","Работа, сотрудничество","Глаголы"
"complete","[kəmˈpliːt]",,,,,"выполнять","Работа, сотрудничество","Глаголы"
"handle","[ˈhændl]",Handle with care,,,,"обращаться","Работа, сотрудничество","Глаголы"
"handle","[ˈhændl]",I can handle it,,,,"справляться","Работа, сотрудничество","Глаголы"
"deliver","[dɪˈlɪvə]",,,,,"доставлять","Работа, сотрудничество","Глаголы"
"operate","[ˈɒpəreɪt]",,,,,"управлять","Работа, сотрудничество","Глаголы"
"order","[ˈɔːdə]",,,,,"приказывать, заказывать","Работа, сотрудничество","Глаголы"
"measure","[ˈmɛʒə]",,,,,"измерять","Работа, сотрудничество","Глаголы"
"engage","[ɪnˈgeɪʤ]",,,,,"входить в контакт","Работа, сотрудничество","Глаголы"
"hire","[ˈhaɪə]",,,,,"нанимать на работу","Работа, сотрудничество","Глаголы"
"train","[treɪn]",,,,,"обучать","Работа, сотрудничество","Глаголы"
"paint","[peɪnt]",,,,,"красить","Работа, сотрудничество","Глаголы"
"direct","[dɪˈrɛkt] [daɪˈrɛkt]",,,,,"руководить","Работа, сотрудничество","Глаголы"
"solve","[sɒlv]",,,,,"решать","Работа, сотрудничество","Глаголы"
"file","[faɪl]",,,,,"вносить в записи","Работа, сотрудничество","Глаголы"
"employ","[ɪmˈplɔɪ]",,,,,"принимать на работу","Работа, сотрудничество","Глаголы"
"make (made, made)","[meɪk]",,,,,"делать","Работа, сотрудничество","Глаголы"
"try","[traɪ]",,,,,"пытаться","Работа, сотрудничество","Глаголы"
"happen","[ˈhæpən]",,,,,"случаться","Работа, сотрудничество","Глаголы"
"set (set, set)","[sɛt]",,,,,"устанавливать","Работа, сотрудничество","Глаголы"
"seek","[siːk]",,,,,"искать","Работа, сотрудничество","Глаголы"
"fill","[fɪl]",,,,,"заполнять","Работа, сотрудничество","Глаголы"
"pass","[pɑːs]",,,,,"проходить","Работа, сотрудничество","Глаголы"
"attempt","[əˈtɛmpt]",,,,,"пытаться","Работа, сотрудничество","Глаголы"
"connect","[kəˈnɛkt]",,,,,"подключать (соединять)","Работа, сотрудничество","Глаголы"
"record","[rɪˈkɔːd]",,,,,"записывать","Работа, сотрудничество","Глаголы"
"locate","[ləʊˈkeɪt]",,,,,"обнаружить","Работа, сотрудничество","Глаголы"
"search","[sɜːʧ]",,,,,"искать","Работа, сотрудничество","Глаголы"
"select","[sɪˈlɛkt]",,,,,"выбирать","Работа, сотрудничество","Глаголы"
"launch","[lɔːnʧ]",,,,,"запускать","Работа, сотрудничество","Глаголы"
"adjust","[əˈʤʌst]",,,,,"настраивать","Работа, сотрудничество","Глаголы"
"succeed","[səkˈsiːd]",,,,,"преуспевать","Работа, сотрудничество","Глаголы"
"review","[rɪˈvjuː]",,,,,"пересматривать","Работа, сотрудничество","Глаголы"
"arrange","[əˈreɪnʤ]",an event,,,,"организовывать","Работа, сотрудничество","Глаголы"
"benefit","[ˈbɛnɪfɪt]",,,,,"получать выгоду","Работа, сотрудничество","Глаголы"
"coach","[kəʊʧ]",,,,,"тренировать","Работа, сотрудничество","Глаголы"
"exercise","[ˈɛksəsaɪz]",,,,,"упражняться","Работа, сотрудничество","Глаголы"
"monitor","[ˈmɒnɪtə]",,,,,"наблюдать","Работа, сотрудничество","Глаголы"
"supply","[səˈplaɪ]",,,,,"обеспечивать","Работа, сотрудничество","Глаголы"
"assist","[əˈsɪst]",,,,,"помогать","Работа, сотрудничество","Глаголы"
"construct","[kənˈstrʌkt]",,,,,"строить","Работа, сотрудничество","Глаголы"
"schedule","[ˈʃɛdjuːl]",,,,,"составлять график","Работа, сотрудничество","Глаголы"
"assign","[əˈsaɪn]",,,,,"назначать","Работа, сотрудничество","Глаголы"
"dismiss","[dɪsˈmɪs]",,,,,"увольнять","Работа, сотрудничество","Глаголы"
"practice","[ˈpræktɪs]",,,,,"практиковаться","Работа, сотрудничество","Глаголы"
"illustrate","[ˈɪləstreɪt]",,,,,"иллюстрировать","Работа, сотрудничество","Глаголы"
"enhance","[ɪnˈhɑːns]",,,,,"улучшать","Работа, сотрудничество","Глаголы"
"implement","[ˈɪmplɪmɛnt]",,,,,"выполнять","Работа, сотрудничество","Глаголы"
"preserve","[prɪˈzɜːv]",,,,,"уберегать","Работа, сотрудничество","Глаголы"
"guide","[gaɪd]",,,,,"направлять","Работа, сотрудничество","Глаголы"
"illustrate","[ˈɪləstreɪt]",,,,,"иллюстрировать","Работа, сотрудничество","Глаголы"
"deserve","[dɪˈzɜːv]",,,,,"заслуживать","Работа, сотрудничество","Глаголы"
"face","[feɪs]",something,,,,"встретиться","Работа, сотрудничество","Глаголы"
"cause","[kɔːz]",,,,,"причинять","Работа, сотрудничество","Глаголы"
"teach (taught, taught)","[tiːʧ]",,,,,"учить","Чувства, мышление, восприятие","Глаголы"
"can (could)","[kæn]",,,,,"мочь","Чувства, мышление, восприятие","Глаголы"
"know (knew, known)","[nəʊ]",,,,,"знать","Чувства, мышление, восприятие","Глаголы"
"think (thought, thought)","[θɪŋk]",,,,,"думать","Чувства, мышление, восприятие","Глаголы"
"see (saw, seen)","[siː]",,,,,"видеть","Чувства, мышление, восприятие","Глаголы"
"want","[wɒnt]",,,,,"хотеть","Чувства, мышление, восприятие","Глаголы"
"look","[lʊk]",,,,,"смотреть","Чувства, мышление, восприятие","Глаголы"
"need","[niːd]",,,,,"нуждаться","Чувства, мышление, восприятие","Глаголы"
"feel (felt, felt)","[fiːl]",,,,,"чувствовать","Чувства, мышление, восприятие","Глаголы"
"mean (meant, meant)","[miːn]",,,,,"значить","Чувства, мышление, восприятие","Глаголы"
"seem","[siːm]",,,,,"казаться","Чувства, мышление, восприятие","Глаголы"
"hear (heard, heard)","[hɪə]",,,,,"слышать","Чувства, мышление, восприятие","Глаголы"
"like","[laɪk]",,,,,"нравиться","Чувства, мышление, восприятие","Глаголы"
"believe","[bɪˈliːv]",,,,,"верить","Чувства, мышление, восприятие","Глаголы"
"learn (learnt, learnt)","[lɜːn]",,,,,"изучать","Чувства, мышление, восприятие","Глаголы"
"watch","[wɒʧ]",,,,,"смотреть","Чувства, мышление, восприятие","Глаголы"
"read (read, read)","[riːd]",,,,,"читать","Чувства, мышление, восприятие","Глаголы"
"remember","[rɪˈmɛmbə]",,,,,"помнить","Чувства, мышление, восприятие","Глаголы"
"love","[lʌv]",,,,,"любить","Чувства, мышление, восприятие","Глаголы"
"decide","[dɪˈsaɪd]",,,,,"решать","Чувства, мышление, восприятие","Глаголы"
"hope","[həʊp]",,,,,"надеяться","Чувства, мышление, восприятие","Глаголы"
"listen","[ˈlɪsn]",,,,,"слушать","Чувства, мышление, восприятие","Глаголы"
"focus","[ˈfəʊkəs]",,,,,"сосредоточиваться","Чувства, мышление, восприятие","Глаголы"
"plan","[plæn]",,,,,"планировать","Чувства, мышление, восприятие","Глаголы"
"note","[nəʊt]",,,,,"замечать","Чувства, мышление, восприятие","Глаголы"
"identify","[aɪˈdɛntɪfaɪ]",,,,,"идентифицировать","Чувства, мышление, восприятие","Глаголы"
"determine","[dɪˈtɜːmɪn]",,,,,"определять","Чувства, мышление, восприятие","Глаголы"
"recognize","[ˈrɛkəgnaɪz]",,,,,"узнавать","Чувства, мышление, восприятие","Глаголы"
"compare","[kəmˈpeə]",,,,,"сравнивать","Чувства, мышление, восприятие","Глаголы"
"miss","[mɪs]",someone,,,,"скучать","Чувства, мышление, восприятие","Глаголы"
"study","[ˈstʌdi]",,,,,"изучать","Чувства, мышление, восприятие","Глаголы"
"forget (forgon, forgotten)","[fəˈgɛt]",,,,,"забывать","Чувства, мышление, восприятие","Глаголы"
"imagine","[ɪˈmæʤɪn]",,,,,"воображать","Чувства, мышление, восприятие","Глаголы"
"discover","[dɪsˈkʌvə]",,,,,"совершать открытие","Чувства, мышление, восприятие","Глаголы"
"worry","[ˈwʌri]",,,,,"беспокоиться","Чувства, мышление, восприятие","Глаголы"
"wait","[weɪt]",,,,,"ждать","Чувства, мышление, восприятие","Глаголы"
"experience","[ɪksˈpɪərɪəns]",,,,,"переживать","Чувства, мышление, восприятие","Глаголы"
"tend","[tɛnd]",,,,,"иметь склонность","Чувства, мышление, восприятие","Глаголы"
"notice","[ˈnəʊtɪs]",,,,,"замечать","Чувства, мышление, восприятие","Глаголы"
"wish","[wɪʃ]",,,,,"желать","Чувства, мышление, восприятие","Глаголы"
"figure out","[ˈfɪgər aʊt]",,,,,"выяснять","Чувства, мышление, восприятие","Глаголы"
"suffer","[ˈsʌfə]",,,,,"страдать","Чувства, мышление, восприятие","Глаголы"
"recall","[rɪˈkɔːl]",,,,,"вспоминать","Чувства, мышление, восприятие","Глаголы"
"stare","[steə]",,,,,"пялиться","Чувства, мышление, восприятие","Глаголы"
"examine","[ɪgˈzæmɪn]",,,,,"изучать","Чувства, мышление, восприятие","Глаголы"
"define","[dɪˈfaɪn]",,,,,"определять","Чувства, мышление, восприятие","Глаголы"
"observe","[əbˈzɜːv]",,,,,"наблюдать","Чувства, мышление, восприятие","Глаголы"
"count","[kaʊnt]",,,,,"считать","Чувства, мышление, восприятие","Глаголы"
"associate","[əˈsəʊʃɪeɪt]",,,,,"ассоциировать","Чувства, мышление, восприятие","Глаголы"
"view","[vjuː]",,,,,"смотреть","Чувства, мышление, восприятие","Глаголы"
"remind","[ˈrɪmaɪnd]",,,,,"напоминать","Чувства, мышление, восприятие","Глаголы"
"hate","[heɪt]",,,,,"ненавидеть","Чувства, мышление, восприятие","Глаголы"
"intend","[ɪnˈtɛnd]",,,,,"намереваться","Чувства, мышление, восприятие","Глаголы"
"explore","[ɪksˈplɔː]",,,,,"исследовать","Чувства, мышление, восприятие","Глаголы"
"predict","[prɪˈdɪkt]",,,,,"предсказывать","Чувства, мышление, восприятие","Глаголы"
"acknowledge","[əkˈnɒlɪʤ]",,,,,"признавать","Чувства, мышление, восприятие","Глаголы"
"fear","[fɪə]",,,,,"бояться","Чувства, мышление, восприятие","Глаголы"
"conclude","[kənˈkluːd]",,,,,"делать вывод","Чувства, мышление, восприятие","Глаголы"
"prefer","[priˈfɜː]",,,,,"предпочитать","Чувства, мышление, восприятие","Глаголы"
"appreciate","[əˈpriːʃɪeɪt]",,,,,"ценить","Чувства, мышление, восприятие","Глаголы"
"trust","[trʌst]",,,,,"доверять","Чувства, мышление, восприятие","Глаголы"
"rely on","[rɪˈlaɪ ɒn]",,,,,"полагаться на","Чувства, мышление, восприятие","Глаголы"
"question","[ˈkwɛsʧən]",,,,,"подвергать сомнению, допрашивать","Чувства, мышление, восприятие","Глаголы"
"regard","[rɪˈgɑːd]",,,,,"учитывать","Чувства, мышление, восприятие","Глаголы"
"suspect","[səsˈpɛkt]",,,,,"подозревать","Чувства, мышление, восприятие","Глаголы"
"suppose","[səˈpəʊz]",,,,,"предполагать","Чувства, мышление, восприятие","Глаголы"
"perceive","[pəˈsiːv]",,,,,"воспринимать","Чувства, мышление, восприятие","Глаголы"
"inspire","[ɪnˈspaɪə]",,,,,"вдохновлять","Чувства, мышление, восприятие","Глаголы"
"analyze","[ˈænəlaɪz]",,,,,"анализировать","Чувства, мышление, восприятие","Глаголы"
"concentrate","[ˈkɒnsəntreɪt]",,,,,"сосредоточиваться","Чувства, мышление, восприятие","Глаголы"
"smell (smelt, smelt)","[smɛl]",,,,,"нюхать, пахнуть","Чувства, мышление, восприятие","Глаголы"
"glance","[glɑːns]",,,,,"смотреть","Чувства, мышление, восприятие","Глаголы"
"dream (dreamt, dreamt)","[driːm]",,,,,"мечать","Чувства, мышление, восприятие","Глаголы"
"react","[ri(ː)ˈækt]",,,,,"реагировать","Чувства, мышление, восприятие","Глаголы"
"choose","[ʧuːz]",,,,,"выбирать","Чувства, мышление, восприятие","Глаголы"
"expect","[ɪksˈpɛkt]",,,,,"ожидать","Чувства, мышление, восприятие","Глаголы"
"miss","[mɪs]",,,,,"упускать","Чувства, мышление, восприятие","Глаголы"
"realize","[ˈrɪəlaɪz]",,,,,"реализовать, осознавать","Чувства, мышление, восприятие","Глаголы"
"say (said, said)","[seɪ]",,,,,"сказать","Общение","Глаголы"
"tell (told, told)","[tɛl]",,,,,"говорить","Общение","Глаголы"
"call","[kɔːl]",,,,,"звать, звонить","Общение","Глаголы"
"ask","[ɑːsk]",,,,,"спрашивать","Общение","Глаголы"
"talk","[tɔːk]",,,,,"разговаривать","Общение","Глаголы"
"meet (met, met)","[miːt]",,,,,"встречать","Общение","Глаголы"
"understand (understood, understood)","[ˌʌndəˈstænd]",,,,,"понимать","Общение","Глаголы"
"speak (spoke, spoken)","[spiːk]",,,,,"говорить","Общение","Глаголы"
"allow","[əˈlaʊ]",,,,,"позволять","Общение","Глаголы"
"offer","[ˈɒfə]",,,,,"предлагать","Общение","Глаголы"
"consider","[kənˈsɪdə]",,,,,"рассматривать","Общение","Глаголы"
"suggest","[səˈʤɛst]",,,,,"предлагать","Общение","Глаголы"
"require","[rɪˈkwaɪə]",,,,,"нуждаться","Общение","Глаголы"
"report","[rɪˈpɔːt]",,,,,"докладывать","Общение","Глаголы"
"explain","[ɪksˈpleɪn]",,,,,"объяснять","Общение","Глаголы"
"thank","[θæŋk]",,,,,"благодарить","Общение","Глаголы"
"agree","[əˈgriː]",,,,,"соглашаться","Общение","Глаголы"
"describe","[dɪsˈkraɪb]",,,,,"описывать","Общение","Глаголы"
"represent","[ˌrɛprɪˈzɛnt]",,,,,"представлять","Общение","Глаголы"
"lie","[laɪ]",,,,,"лгать","Общение","Глаголы"
"tell the truth","[tɛl ðə truːθ]",,,,,"говорить правду","Общение","Глаголы"
"mean (meant, meant)","[miːn]",,,,,"иметь в виду","Общение","Глаголы"
"argue","[ˈɑːgjuː]",,,,,"спорить","Общение","Глаголы"
"wonder","[ˈwʌndə]",,,,,"интересоваться","Общение","Глаголы"
"name","[neɪm]",,,,,"называть","Общение","Глаголы"
"answer","[ˈɑːnsə]",,,,,"отвечать","Общение","Глаголы"
"state","[steɪt]",,,,,"делать заявление","Общение","Глаголы"
"discuss","[dɪsˈkʌs]",,,,,"обсуждать","Общение","Глаголы"
"laugh","[lɑːf]",,,,,"смеяться","Общение","Глаголы"
"guess","[gɛs]",,,,,"догадываться","Общение","Глаголы"
"prove","[pruːv]",,,,,"доказывать","Общение","Глаголы"
"sound","[saʊnd]",,,,,"звучать","Общение","Глаголы"
"respond","[rɪsˈpɒnd]",,,,,"отвечать","Общение","Глаголы"
"reveal","[rɪˈviːl]",,,,,"выявлять","Общение","Глаголы"
"treat","[triːt]",,,,,"лечить","Общение","Глаголы"
"affect","[əˈfɛkt]",,,,,"влиять","Общение","Глаголы"
"mention","[ˈmɛnʃən]",,,,,"упоминать","Общение","Глаголы"
"care","[keə]",,,,,"заботиться","Общение","Глаголы"
"avoid","[əˈvɔɪd]",,,,,"избегать","Общение","Глаголы"
"support","[səˈpɔːt]",,,,,"поддерживать","Общение","Глаголы"
"sing (sang, sung)","[sɪŋ]",,,,,"петь","Общение","Глаголы"
"address","[əˈdrɛs]",,,,,"обращаться","Общение","Глаголы"
"smile","[smaɪl]",,,,,"улыбаться","Общение","Глаголы"
"admit","[ədˈmɪt]",,,,,"признать","Общение","Глаголы"
"assume","[əˈsjuːm]",,,,,"предполагать","Общение","Глаголы"
"refer","[rɪˈfɜː]",,,,,"ссылаться","Общение","Глаголы"
"announce","[əˈnaʊns]",,,,,"объявлять","Общение","Глаголы"
"encourage","[ɪnˈkʌrɪʤ]",,,,,"воодушевлять","Общение","Глаголы"
"introduce","[ˌɪntrəˈdjuːs]",,,,,"представлять","Общение","Глаголы"
