"text","transcription",lang,text2,transcription2,lang2,"translation","category","partOfSpeech"
"alter","[ˈɔːltə]",,,,,"изменять","Физические действия (общие)","Глаголы"
"alternate","[ɔːlˈtɜːnɪt]",,,,,"чередовать","Физические действия (общие)","Глаголы"
"alternative","[ɔːlˈtɜːnətɪv]",,,,,"альтернатива","Общение","Существительные"
"alternative","[ɔːlˈtɜːnətɪv]",,,,,"альтернативный","Ощущения, логика","Прилагательные"
"although","[ɔːlˈðəʊ]",My cell phone doesn’t work although it’s new,,,,"Хотя","","Союзы"
"always","[ˈɔːlweɪz]",,,,,"всегда","Наречия времени","Наречия"
"AM","[æm]",,,,,"до полудня","Наречия времени","Наречия"
"amazing","[əˈmeɪzɪŋ]",,,,,"удивительный","Человек","Прилагательные"
"ammunition","[ˌæmjə'nɪʃ(ə)n]",,ammo,['æməu],,"боеприпасы","Армия","Существительные"
"among","[əˈmʌŋ]",the wolf among us,,,,"среди (волк среди нас)","Предлоги места","Предлоги"
"amount","[əˈmaʊnt]",,number,[ˈnʌmbə],,"количество","Математика","Существительные"
"analyst","[ˈænəlɪst]",,,,,"аналитик","Профессии, должности","Существительные"
"analyze","[ˈænəlaɪz]",,,,,"анализировать","Чувства, мышление, восприятие","Глаголы"
"ancient","[ˈeɪnʃ(ə)nt]",,,,,"древний","Время","Прилагательные"
"and","[ænd]",You and me,,,,"и (Ты и я)","","Союзы"
"anger","[ˈæŋgə]",,,,,"гнев","Психология, чувства","Существительные"
"angry","[ˈæŋgri]",,,,,"сердитый","Человек","Прилагательные"
"animal","[ˈænɪməl]",,,,,"животное","Животные, растения","Существительные"
"announce","[əˈnaʊns]",,,,,"объявлять","Общение","Глаголы"
"annual","[ˈænjʊəl]",,,,,"ежегодный","Время","Прилагательные"
"answer","[ˈɑːnsə]",,,,,"отвечать","Общение","Глаголы"
"answer","[ˈɑːnsə]",,,,,"ответ","Математика","Существительные"
"answer","[ˈɑːnsə]",,,,,"ответ","Общение","Существительные"
"anxiety","[æŋˈzaɪəti]",,,,,"тревожность","Психология, чувства","Существительные"
"anymore","[ˌɛniˈmɔː]",,,,,"(еще) больше","Количества","Наречия"
"anyway","[ˈɛnɪweɪ]",,,,,"в любом случае","Вводные и соединительные слова","Наречия"
"anywhere","[ˈɛnɪweə]",,,,,"в любом месте","Места","Наречия"
"apart","[əˈpɑːt]",,,,,"отдельно от чего-то","Места","Наречия"
"apparent","[əˈpærənt]",,,,,"очевидный","Государство и общество","Прилагательные"
"apparently","[əˈpærəntli]",,,,,"по-видимому","Вводные и соединительные слова","Наречия"
"appeal","[əˈpiːl]",,,,,"апеллировать","Общение","Глаголы"
"appeal","[əˈpiːl]",,,,,"обращение","Общение","Существительные"
"appear","[əˈpɪə]",,,,,"появляться","Движение","Глаголы"
"apple","[ˈæpl]",,,,,"яблоко","Еда","Существительные"
"application","[ˌæplɪˈkeɪʃ(ə)n]",,,,,"заявка","Работа, карьера","Существительные"
"application","[ˌæplɪˈkeɪʃ(ə)n]",,,,,"приложение","Информационные технологии","Существительные"
"apply","[əˈplaɪ]",,,,,"подавать заявление","Работа, сотрудничество","Глаголы"
"appreciate","[əˈpriːʃɪeɪt]",,,,,"ценить","Чувства, мышление, восприятие","Глаголы"
"approach","[əˈprəʊʧ]",,,,,"приближаться","Движение","Глаголы"
"approach","[əˈprəʊʧ]",,,,,"подход (к чему-либо)","Логика","Существительные"
"appropriate","[əˈprəʊprɪɪt]",,,,,"подходящий (уместный)","Ощущения, логика","Прилагательные"
"appropriate","[əˈprəʊprɪɪt]",,,,,"подходящий (уместный)","Важность, вероятность","Прилагательные"
"approval","[əˈpruːvəl]",,,,,"подтверждение","Общение","Существительные"
"approve","[əˈpruːv]",,,,,"подтверждать","Общение","Глаголы"
"approximately","[əˈprɒksɪmɪtli]",,,,,"примерно","Меры, степени","Наречия"
"April","[ˈeɪprəl]",,,,,"апрель","Время","Существительные"
"area","[ˈeərɪə]",,,,,"местность, регион, район","Пространство","Существительные"
"argue","[ˈɑːgjuː]",,,,,"спорить","Общение","Глаголы"
"argument","[ˈɑːgjʊmənt]",,,,,"спор, ссора","Взаимоотношения","Существительные"
"argument","[ˈɑːgjʊmənt]",,,,,"аргумент","Общение","Существительные"
"arise","[əˈraɪz]",,,,,"возникать","Наличие/отсутствие, принадлежность","Глаголы"
"arm","[ɑːm]",,,,,"рука (полностью)","Человек: анатомия","Существительные"
"armed","[ɑːmd]",,,,,"вооруженный","Государство и общество","Прилагательные"
"armor","[ˈɑːmə]",,,,,"броня","Армия","Существительные"
"army","[ˈɑːmi]",,,,,"армия","Армия","Существительные"
"around","[əˈraʊnd]",,,,,"вокруг","Места","Наречия"
"around","[əˈraʊnd]",around the world,,,,"вокруг (вокруг света)","Предлоги места","Предлоги"
"around","[əˈraʊnd]",around nine o'clock,,,,"около (около 9 часов)","Предлоги времени","Предлоги"
"arrange","[əˈreɪnʤ]",an event,,,,"организовывать","Работа, сотрудничество","Глаголы"
"arrange","[əˈreɪnʤ]",the books on the shelves,,,,"расставлять","Физические действия (человека)","Глаголы"
"arrangement","[əˈreɪnʤmənt]",,,,,"расположение","Пространство","Существительные"
"arrest","[əˈrɛst]",,,,,"арестовывать","Закон","Глаголы"
"arrive","[əˈraɪv]",,,,,"прибывать","Движение","Глаголы"
"art","[ɑːt]",,,,,"искусство, изобразительное искусство (и произведения)","Живопись, фотография","Существительные"
"article","[ˈɑːtɪkl]",,,,,"статья (напр. в газете)","Литература","Существительные"
"artist","[ˈɑːtɪst]",,,,,"художник","Живопись, фотография","Существительные"
"artist","[ˈɑːtɪst]",,,,,"художник","Профессии, должности","Существительные"
"as","[æz]",As you can see…,,,,"как (Как вы можете видеть…)","","Союзы"
"aside","[əˈsaɪd]",,,,,"в сторону","Места","Наречия"
"ask","[ɑːsk]",,,,,"спрашивать","Общение","Глаголы"
"aspect","[ˈæspɛkt]",,,,,"аспект, сторона","Наука","Существительные"
"assault","[əˈsɔːlt]",,,,,"нападение","Закон","Существительные"
"assemble","[əˈsɛmbl]",,,,,"собирать","Этапы действия, часть и целое","Глаголы"
"assess","[əˈsɛs]",,,,,"оценивать","Экономика, бизнес","Глаголы"
"assessment","[əˈsɛsmənt]",,,,,"оценка","Экономика, бизнес","Существительные"
"asset","[ˈæsɛt]",,,,,"актив (вклад)","Экономика, бизнес","Существительные"
"assign","[əˈsaɪn]",,,,,"назначать","Работа, сотрудничество","Глаголы"
"assist","[əˈsɪst]",,,,,"помогать","Работа, сотрудничество","Глаголы"
"assistance","[əˈsɪstəns]",,,,,"помощь","Сотрудничество","Существительные"
"assistant","[əˈsɪstənt]",,,,,"ассистент","Профессии, должности","Существительные"
"assistant","[əˈsɪstənt]",,,,,"вспомогательный, помощник","Государство и общество","Прилагательные"
"associate","[əˈsəʊʃɪeɪt]",,,,,"ассоциировать","Чувства, мышление, восприятие","Глаголы"
"association","[əˌsəʊsɪˈeɪʃ(ə)n]",,,,,"ассоциация","Экономика, бизнес","Существительные"
"assume","[əˈsjuːm]",,,,,"предполагать","Общение","Глаголы"
"assumption","[əˈsʌmpʃ(ə)n]",,,,,"предположение","Мышление","Существительные"
"assure","[əˈʃʊə]",,,,,"уверять","Общение","Глаголы"
"at","[æt]",at the gate,,,,"у (у ворот)","Предлоги места","Предлоги"
"at","[æt]",at the midday,,,,"в (в полдень)","Предлоги времени","Предлоги"
"at least","[ət liːst]",,,,,"по меньшей мере","Количества","Наречия"
"athlete","[ˈæθliːt]",,,,,"спортсмен","Спорт","Существительные"
"atmosphere","[ˈætməsfɪə]",,,,,"атмосфера","Мир, природа","Существительные"
"attach","[əˈtæʧ]",,,,,"прикреплять","Физические действия (человека)","Глаголы"
"attack","[əˈtæk]",,,,,"атаковать","Борьба","Глаголы"
"attack","[əˈtæk]",,,,,"нападать","Закон","Глаголы"
"attack","[əˈtæk]",,,,,"атака","Армия","Существительные"
"attempt","[əˈtɛmpt]",,,,,"пытаться","Работа, сотрудничество","Глаголы"
"attempt","[əˈtɛmpt]",,,,,"попытка","Работа, карьера","Существительные"
"attend","[əˈtɛnd]",,,,,"участвовать, посещать","Работа, сотрудничество","Глаголы"
"attention","[əˈtɛnʃ(ə)n]",,,,,"внимание","Мышление","Существительные"
"attitude","[ˈætɪtjuːd]",,,,,"отношение (к чему-то)","Психология, чувства","Существительные"
"attorney","[əˈtɜːni]",,,,,"адвокат","Закон","Существительные"
"attractive","[əˈtræktɪv]",,,,,"привлекательный","Человек","Прилагательные"
"audience","[ˈɔːdjəns]",,,,,"аудитория (зрители)","Кино, театр, музыка","Существительные"
"August","[ˈɔːgəst]",,,,,"август","Время","Существительные"
"aunt","[ɑːnt]",,,,,"тетя","Семья","Существительные"
"author","[ˈɔːθə]",,,,,"автор","Литература","Существительные"
"authority","[ɔːˈθɒrɪti]",,,,,"полномочия (власть)","Государство и общество","Существительные"
"available","[əˈveɪləbl]",,,,,"доступный","Пространство и природа","Прилагательные"
"average","[ˈævərɪʤ]",,,,,"средний","Разнообразие","Прилагательные"
"avoid","[əˈvɔɪd]",,,,,"избегать","Общение","Глаголы"
"award","[əˈwɔːd]",,,,,"награда","Работа, карьера","Существительные"
"aware","[əˈweə] ",,,,,"знающий (осведомленный)","Человек","Прилагательные"
"awareness","[əˈweənəs]",,,,,"осведомленность","Мышление","Существительные"
"away","[əˈweɪ]",,,,,"вдали от чего-то","Места","Наречия"
"a little","[ə ˈlɪtl]",,,,,"немного","Количества","Наречия"
"baby","[ˈbeɪbi]",,,,,"малыш","Человек: жизнь","Существительные"
"baby","[ˈbeɪbi]",,,,,"маленький ребенок","Семья","Существительные"
"back","[bæk]",,,,,"отступать","Общение","Глаголы"
"back","[bæk]",,,,,"спина","Человек: анатомия","Существительные"
"back","[bæk]",,,,,"назад","Места","Наречия"
"background","[ˈbækgraʊnd]",,,,,"фон, опыт, происхождение человека","Живопись, фотография","Существительные"
"bad","[bæd]",,,,,"плохой","Качество","Прилагательные"
"bag","[bæg]",,,,,"сумка","Одежда","Существительные"
"bake","[beɪk]",,,,,"печь","Дом, быт, развлечения","Глаголы"
"balance","[ˈbæləns]",,,,,"балансировать","Физические действия (общие)","Глаголы"
"ball","[bɔːl]",,,,,"мяч","Спорт","Существительные"
"band","[bænd]",,,,,"группа (муз.)","Кино, театр, музыка","Существительные"
"bank","[bæŋk] ",,,,,"берег реки","Мир, природа","Существительные"
"bank","[bæŋk]",,,,,"банк","Экономика, бизнес","Существительные"
"banner","[ˈbænə]",,,,,"знамя","Армия","Существительные"
"bar","[bɑː]",,,,,"бар","Город","Существительные"
"barely","[ˈbeəli]",,,,,"едва","Меры, степени","Наречия"
"barrier","[ˈbærɪə]",,,,,"барьер","Техника","Существительные"
"base","[beɪs]",,,,,"базировать, размещать","Работа, сотрудничество","Глаголы"
"base","[beɪs]",,,,,"база, основание","Экономика, бизнес","Существительные"
"basement","[ˈbeɪsmənt]",,,,,"подвал","Дом, быт","Существительные"
"basic","[ˈbeɪsɪk]",,,,,"базовый","Разнообразие","Прилагательные"
"basically","[ˈbeɪsɪkəli]",,,,,"в основном","Вводные и соединительные слова","Наречия"
"basis","[ˈbeɪsɪs]",,,,,"основа","Техника","Существительные"
"basketball","[ˈbɑːskɪtˌbɔːl]",,,,,"баскетбол","Спорт","Существительные"
"bathroom","[ˈbɑːθru(ː)m]",,,,,"туалет, ванная","Дом, быт","Существительные"
"battle","[ˈbætl]",,,,,"битва","Армия","Существительные"
"be","[biː]",,,,,"быть","Наличие/отсутствие, принадлежность","Глаголы"
"be absent","[bi ˈæbsənt]",,,,,"отсутствовать","Наличие/отсутствие, принадлежность","Глаголы"
"be born","[bi bɔːn]",,,,,"быть рожденным","Человек","Глаголы"
"be present","[bi ˈprɛznt]",,,,,"присутствовать","Наличие/отсутствие, принадлежность","Глаголы"
"beach","[biːʧ]",,,,,"пляж","Город","Существительные"
"beans","[biːnz]",,,,,"бобы","Еда","Существительные"
"bear","[beə]",,,,,"медведь","Животные, растения","Существительные"
"bear","[beə]",,,,,"нести","Движение","Глаголы"
"beat","[biːt]",,,,,"бить","Борьба","Глаголы"
"beat up","[biːt] [ʌp]",,,,,"бить","Закон","Глаголы"
"beautiful","[ˈbjuːtəfʊl]",,,,,"красивый","Ощущения, логика","Прилагательные"
"beauty","[ˈbjuːti]",,,,,"красотка","Человек: личность","Существительные"
"because","[bɪˈkɒz]","Keep smiling, because life is a beautiful thing",,,,"потому что (Продолжайте улыбаться, потому что жизнь - прекрасная штука)","","Союзы"
"because of","[bɪˈkəz ɒv]",because of the car accident,,,,"из-за (из-за автомобильной аварии)","Разные предлоги","Предлоги"
"become","[bɪˈkʌm]",,,,,"становиться","Этапы действия, часть и целое","Глаголы"
"bed","[bɛd]",,,,,"кровать","Дом, быт","Существительные"
"bedroom","[ˈbɛdru(ː)m]",,,,,"спальня","Дом, быт","Существительные"
"beer","[bɪə]",,,,,"пиво","Еда","Существительные"
"before","[bɪˈfɔː]",,,,,"до","Наречия времени","Наречия"
"before","[bɪˈfɔː]",before breakfast,,,,"до (до завтрака)","Предлоги времени","Предлоги"
"before","[bɪˈfɔː]",Don’t watch horror movies before you sleep,,,,"До, перед","","Союзы"
"begin","[bɪˈgɪn]",,,,,"начинать","Этапы действия, часть и целое","Глаголы"
"beginning","[bɪˈgɪnɪŋ]",,,,,"начало","Время","Существительные"
"behavior","[bɪˈheɪvjə]",,,,,"поведение","Психология, чувства","Существительные"
"behind","[bɪˈhaɪnd]",behind the building,,,,"позади (позади здания)","Предлоги места","Предлоги"
"being","[ˈbiːɪŋ]",,,,,"бытие","Религия","Существительные"
"belief","[bɪˈliːf]",,,,,"вера","Религия","Существительные"
"believe","[bɪˈliːv]",,,,,"верить","Чувства, мышление, восприятие","Глаголы"
"bell","[bɛl]",,,,,"колокольчик (колокол)","Кино, театр, музыка","Существительные"
"belong","[bɪˈlɒŋ]",,,,,"принадлежать","Наличие/отсутствие, принадлежность","Глаголы"
"below","[bɪˈləʊ]",,,,,"ниже","Места","Наречия"
"below","[bɪˈləʊ]",below sea level,,,,"ниже (ниже уровня моря)","Предлоги места","Предлоги"
"belt","[bɛlt]",,,,,"ремень","Одежда","Существительные"
"bench","[bɛnʧ]",,,,,"скамья","Город","Существительные"
"bend","[bɛnd]",,,,,"гнуть","Физические действия (человека)","Глаголы"
"benefit","[ˈbɛnɪfɪt]",,,,,"получать выгоду","Работа, сотрудничество","Глаголы"
"benefit","[ˈbɛnɪfɪt]",,,,,"выгода","Экономика, бизнес","Существительные"
"beside","[bɪˈsaɪd]",beside the house,,,,"рядом с (рядом с домом)","Предлоги места","Предлоги"
"best","[bɛst]",,,,,"лучший","Качество","Прилагательные"
"best","[bɛst]",,,,,"лучший","Меры, степени","Наречия"
"bet","[bɛt]",,,,,"делать ставку","Дом, быт, развлечения","Глаголы"
"betrayal","[bɪˈtreɪəl]",,,,,"предательство","Взаимоотношения","Существительные"
"better","[ˈbɛtə]",,,,,"лучше","Меры, степени","Наречия"
"between","[bɪˈtwiːn]",between two mountains,,,,"между (между двух гор)","Предлоги места","Предлоги"
"beyond","[bɪˈjɒnd]",beyond the river,,,,"по ту сторону, за (за рекой)","Предлоги места","Предлоги"
"Bible","[ˈbaɪbl]",,,,,"Библия","Религия","Существительные"
"big","[bɪg]",,,,,"большой","Размер, форма","Прилагательные"
"bike","[baɪk]",,,,,"велосипед (мотоцикл)","Транспорт","Существительные"
"bill","[bɪl]",,,,,"счет (напр. в ресторане)","Экономика, бизнес","Существительные"
"bind","[baɪnd]",,,,,"связывать","Физические действия (человека)","Глаголы"
"biological","[ˌbaɪəʊˈlɒʤɪkəl]",,,,,"биологический","Пространство и природа","Прилагательные"
"bird","[bɜːd]",,,,,"птица","Животные, растения","Существительные"
"birth","[bɜːθ]",,,,,"рождение","Человек: жизнь","Существительные"
"birthday","[ˈbɜːθdeɪ]",,,,,"день рождения","Человек: личность","Существительные"
"bit","[bɪt]",of something,,,,"частичка","Материалы","Существительные"
"bit","[bɪt]",,,,,"немного","Количества","Наречия"
"bitter","[ˈbɪtə]",,,,,"горький","Ощущения, логика","Прилагательные"
"black","[blæk]",,,,,"черный","Цвета","Прилагательные"
"blame","[bleɪm]",,,,,"винить","Общение","Глаголы"
"blind","[blaɪnd]",,,,,"слепой","Человек","Прилагательные"
"block","[blɒk]",,,,,"квартал","Город","Существительные"
"blood","[blʌd]",,,,,"кровь","Медицина","Существительные"
"blow","[bləʊ]",,,,,"дуть","Физические действия (человека)","Глаголы"
"blue","[bluː]",,,,,"голубой, синий","Цвета","Прилагательные"
"board","[bɔːd]",,,,,"доска, панель","Материалы","Существительные"
"boat","[bəʊt]",,,,,"лодка","Транспорт","Существительные"
"body","[ˈbɒdi]",,,,,"тело","Человек: анатомия","Существительные"
"bomb","[bɒm]",,,,,"бомба","Армия","Существительные"
"bone","[bəʊn]",,,,,"кость","Человек: анатомия","Существительные"
"book","[bʊk]",,,,,"книга","Литература","Существительные"
"boots","[buːts]",,,,,"ботинки","Одежда","Существительные"
"border","[ˈbɔːdə]",,,,,"граница","Государство и общество","Существительные"
"boss","[bɒs]",,,,,"босс","Профессии, должности","Существительные"
"bother","[ˈbɒðə]",,,,,"беспокоить","Общение","Глаголы"
"bottle","[ˈbɒtl]",,,,,"бутылка","Еда","Существительные"
"bottom","[ˈbɒtəm]",,,,,"дно (нижняя часть)","Пространство","Существительные"
"bottom","[ˈbɒtəm]",,,,,"нижний","Пространство и природа","Прилагательные"
"boundary","[ˈbaʊndəri]",,,,,"граница (предел)","Пространство","Существительные"
"bowl","[bəʊl]",,,,,"чаша","Дом, быт","Существительные"
"box","[bɒks]",,,,,"коробка","Дом, быт","Существительные"
"boy","[bɔɪ]",,,,,"мальчик","Человек: жизнь","Существительные"
"boyfriend","[ˈbɔɪˌfrɛnd]",,,,,"парень (бойфренд)","Семья","Существительные"
"brackets","[ˈbrækɪts]",,,,,"скобки (матем.)","Математика","Существительные"
"brain","[breɪn]",,,,,"мозг","Человек: анатомия","Существительные"
"branch","[brɑːnʧ]",,,,,"филиал","Экономика, бизнес","Существительные"
"brand","[brænd]",,,,,"бренд","Экономика, бизнес","Существительные"
"bread","[brɛd]",,,,,"хлеб","Еда","Существительные"
"break","[breɪk] ",,,,,"перерыв","Работа, карьера","Существительные"
"break","[breɪk]",,,,,"ломать","Физические действия (человека)","Глаголы"
"breakfast","[ˈbrɛkfəst]",,,,,"завтрак","Еда","Существительные"
"breast","[brɛst]",,,,,"грудь","Человек: анатомия","Существительные"
"breath","[brɛθ]",,,,,"дыхание","Человек: анатомия","Существительные"
"breathe","[briːð]",,,,,"дышать","Человек","Глаголы"
"brick","[brɪk]",,,,,"кирпич","Материалы","Существительные"
"bridge","[brɪʤ]",,,,,"мост","Город","Существительные"
"brief","[briːf]",,,,,"краткий","Время","Прилагательные"
"bright","[braɪt]",,,,,"яркий","Ощущения, логика","Прилагательные"
"bring","[brɪŋ]",,,,,"приносить","Движение","Глаголы"
"broad","[brɔːd]",,,,,"широкий","Размер, форма","Прилагательные"
"broken","[ˈbrəʊkən]",,,,,"сломанный","Физические качества","Прилагательные"
"brother","[ˈbrʌðə]",,,,,"брат","Семья","Существительные"
"brown","[braʊn]",,,,,"коричневый","Цвета","Прилагательные"
"brush","[brʌʃ]",,,,,"кисть","Живопись, фотография","Существительные"
"buddhist","[ˈbʊdɪst]",,,,,"буддист","Религия","Существительные"
"budget","[ˈbʌʤɪt]",,,,,"бюджет","Экономика, бизнес","Существительные"
"build","[bɪld]",,,,,"строить","Работа, сотрудничество","Глаголы"
"building","[ˈbɪldɪŋ]",,,,,"здание","Город","Существительные"
"bull","[bʊl]",,,,,"бык","Животные, растения","Существительные"
"bullet","[ˈbʊlɪt]",,,,,"пуля","Армия","Существительные"
