"text","transcription","lang","text2","transcription2","lang2","translation","category","partOfSpeech"
"aunt","[ɑːnt]","","","","","тетя","Семья, родственники","Существительные"
"baby","[ˈbeɪbi]","","","","","малыш","Семья, родственники","Существительные"
"bad","[bæd]","","","","","плохой","Различные качества и свойства","Прилагательные"
"bad","[bæd]","","","","","плохой","Качества, характер человека","Прилагательные"
"bad","[bæd]","","","","","плохо","Наречия образа действия","Наречия"
"bag","[bæg]","","","","","сумка","Дом, одежда, предметы быта","Существительные"
"bank","[bæŋk]","","","","","банк","Работа и деньги","Существительные"
"bank card","[bæŋk kɑːd]","","","","","банковская карта","Работа и деньги","Существительные"
"bathroom","[ˈbɑːθru(ː)m]","","","","","ванная комната","Дом, одежда, предметы быта","Существительные"
"be","[biː]","","","","","быть","Наиболее употребительные глаголы","Глаголы"
"beautiful","[ˈbjuːtəfʊl]","","","","","красивый","Различные качества и свойства","Прилагательные"
"bed","[bɛd]","","","","","кровать","Дом, одежда, предметы быта","Существительные"
"bedroom","[ˈbɛdru(ː)m]","","","","","спальня","Дом, одежда, предметы быта","Существительные"
"before","[bɪˈfɔː]","","","","","до","Наречия времени","Наречия"
"begin","[bɪˈgɪn]","","","","","начинаться","Этапы действия","Глаголы"
"belt","[bɛlt]","","","","","ремень","Дом, одежда, предметы быта","Существительные"
"big","[bɪg]","","","","","большой","Вес и размер","Прилагательные"
"bill","[bɪl]","","","","","купюра","Работа и деньги","Существительные"
"bird","[bɜːd]","","","","","птица","Природа","Существительные"
"birth","[bɜːθ]","","","","","рождение","Семья, родственники","Существительные"
"bitter","[ˈbɪtə]","","","","","горький","Различные качества и свойства","Прилагательные"
"black","[blæk]","","","","","черный","Цвета","Прилагательные"
"blackboard","[ˈblækbɔːd]","","","","","школьная доска","Образование","Существительные"
"blanket","[ˈblæŋkɪt]","","","","","одеяло","Дом, одежда, предметы быта","Существительные"
"block","[blɒk]","","","","","квартал","Город","Существительные"
"blue","[bluː]","","","","","синий","Цвета","Прилагательные"
"book","[bʊk]","","","","","книга","Дом, одежда, предметы быта","Существительные"
"bored","[bɔːd]","","","","","скучающий","Качества, характер человека","Прилагательные"
"boring","[ˈbɔːrɪŋ]","","","","","скучный","Различные качества и свойства","Прилагательные"
"boy","[bɔɪ]","","","","","мальчик","Семья, родственники","Существительные"
"boyfriend","[ˈbɔɪˌfrɛnd]","","","","","парень","Семья, родственники","Существительные"
"brave","[breɪv]","","","","","смелый","Качества, характер человека","Прилагательные"
"bread","[brɛd]","","","","","хлеб","Еда и напитки","Существительные"
"breakfast","[ˈbrɛkfəst]","","","","","завтрак","Еда и напитки","Существительные"
"bridge","[brɪʤ]","","","","","мост","Город","Существительные"
"brother","[ˈbrʌðə]","","","","","брат","Семья, родственники","Существительные"
"brown","[braʊn]","","","","","коричневый","Цвета","Прилагательные"
"brush one’s teeth","[brʌʃ wʌnz tiːθ]","","","","","чистить зубы","Глаголы, обозначающие повседневные дела","Глаголы"
"budget","[ˈbʌʤɪt]","","","","","бюджет","Работа и деньги","Существительные"
"building","[ˈbɪldɪŋ]","","","","","здание","Город","Существительные"
"bus station","[bʌs ˈsteɪʃən]","","bus terminal","[bʌs ˈtɜːmɪnl]","","автобусная станция","Город","Существительные"
"butter","[ˈbʌtə]","","","","","сливочное масло","Еда и напитки","Существительные"
"button","[ˈbʌtn]","","","","","кнопка","Дом, одежда, предметы быта","Существительные"
"calendar","[ˈkælɪndə]","","","","","календарь","Единицы времени, слова на тему ""Время""","Существительные"
"call","[kɔːl]","","","","","звонить","Глаголы речи, общения","Глаголы"
"calm","[kɑːm]","","","","","спокойный","Качества, характер человека","Прилагательные"
"camera","[ˈkæmərə]","","","","","видеокамера","Дом, одежда, предметы быта","Существительные"
"candy","[ˈkændi]","","","","","леденец","Еда и напитки","Существительные"
"cap","[ˈkæp]","","","","","кепка","Дом, одежда, предметы быта","Существительные"
"car","[kɑː]","","","","","автомобиль","Город","Существительные"
"cash","[kæʃ]","","","","","наличные","Работа и деньги","Существительные"
"cat","[kæt]","","","","","кошка","Природа","Существительные"
"ceiling","[ˈsiːlɪŋ]","","","","","потолок","Дом, одежда, предметы быта","Существительные"
"century","[ˈsɛnʧʊri]","","","","","век","Единицы времени, слова на тему ""Время""","Существительные"
"cereal","[ˈsɪərɪəl]","","","","","хлопья","Еда и напитки","Существительные"
"chair","[ʧeə]","","","","","стул","Дом, одежда, предметы быта","Существительные"
"change","[ʧeɪnʤ]","","","","","сдача","Работа и деньги","Существительные"
"cheap","[ʧiːp]","","","","","дешевый","Различные качества и свойства","Прилагательные"
"check","[ʧɛk]","","cheque","","","чек","Работа и деньги","Существительные"
"chicken","[ˈʧɪkɪn]","","","","","курица","Природа","Существительные"
"children","[ˈʧɪldrən]","","kids","[kɪdz]","","дети","Семья, родственники","Существительные"
"cinema","[ˈsɪnəmə]","UK","movie theater","","US","кинотеатр","Город","Существительные"
"city","[ˈsɪti]","","town","[taʊn]","","город","Город","Существительные"
"class","[klɑːs]","","lesson","[ˈlɛsn]","","урок","Образование","Существительные"
"classroom","[ˈklɑːsrʊm]","","","","","класс","Образование","Существительные"
"clock","[klɒk]","","","","","настенные часы","Единицы времени, слова на тему ""Время""","Существительные"
"closet","[ˈklɒzɪt]","","","","","кладовка","Дом, одежда, предметы быта","Существительные"
"clothes","[kləʊðz]","","","","","одежда","Дом, одежда, предметы быта","Существительные"
"coat","[kəʊt]","","","","","пальто","Дом, одежда, предметы быта","Существительные"
"coffee","[ˈkɒfi]","","","","","кофе","Еда и напитки","Существительные"
"coin","[kɔɪn]","","","","","монета","Работа и деньги","Существительные"
"cold","[kəʊld]","","","","","холод","Природа","Существительные"
"cold","[kəʊld]","","","","","холодный","Различные качества и свойства","Прилагательные"
"colleague","[ˈkɒliːg]","","","","","коллега","Работа и деньги","Существительные"
"college","[ˈkɒlɪʤ]","","","","","колледж","Образование","Существительные"
"color","[ˈkʌlə]","","colour","","","цвет","Цвета","Прилагательные"
"comb one’s hair","[kəʊm wʌnz heə]","","","","","причесываться","Глаголы, обозначающие повседневные дела","Глаголы"
"complete","[kəmˈpliːt]","","","","","завершать","Этапы действия","Глаголы"
"computer","[kəmˈpjuːtə]","","","","","компьютер","Дом, одежда, предметы быта","Существительные"
"continue","[kənˈtɪnju(ː)]","","","","","продолжать","Этапы действия","Глаголы"
"convenient","[kənˈviːnjənt]","","handy, comfortable","[ˈhændi], [ˈkʌmfətəbl]","","удобный","Различные качества и свойства","Прилагательные"
"cook","[kʊk]","","","","","готовить","Глаголы, обозначающие повседневные дела","Глаголы"
"cool","[kuːl]","","","","","прохладный","Различные качества и свойства","Прилагательные"
"cool","[kuːl]","","","","","прикольный","Качества, характер человека","Прилагательные"
"correct","[kəˈrɛkt]","","","","","исправлять","Глаголы речи, общения","Глаголы"
"cousin","[ˈkʌzn]","","","","","кузен","Семья, родственники","Существительные"
"cowardly","[ˈkaʊəd]","","","","","трусливый","Качества, характер человека","Прилагательные"
"crosswalk","[ˈkrɒswɔːk]","","","","","пешеходный переход","Город","Существительные"
"cruel","[krʊəl]","","","","","жестокий","Качества, характер человека","Прилагательные"
"cry","[kraɪ]","","","","","плакать","Глаголы речи, общения","Глаголы"
"cup","[kʌp]","","","","","чашка","Дом, одежда, предметы быта","Существительные"
"cup","[kʌp]","","","","","чашка","Еда и напитки","Существительные"
"cupboard","[ˈkʌbəd]","","","","","буфет","Дом, одежда, предметы быта","Существительные"
"curious","[ˈkjʊərɪəs]","","","","","любопытный","Качества, характер человека","Прилагательные"
"cute","[kjuːt]","","","","","милый","Качества, характер человека","Прилагательные"
"CV","[siː-viː]","","resume","[ˈrɛzju(ː)meɪ]","","резюме","Работа и деньги","Существительные"
"dad","[dæd]","","","","","папа","Семья, родственники","Существительные"
"dance","[dɑːns]","","","","","танцевать","Основные глаголы движения","Глаголы"
"dark","[dɑːk]","","","","","темный","Цвета","Прилагательные"
"daughter","[ˈdɔːtə]","","","","","дочь","Семья, родственники","Существительные"
"daughter-in-law","[ˈdɔːtərɪnlɔː]","","","","","невестка","Семья, родственники","Существительные"
"day","[deɪ]","","","","","день","Единицы времени, слова на тему ""Время""","Существительные"
"decade","[ˈdɛkeɪd]","","","","","десятилетие","Единицы времени, слова на тему ""Время""","Существительные"
"December","[dɪˈsɛmbə]","","","","","декабрь","Месяцы, времена года, дни недели","Существительные"
"degree","[dɪ'griː]","","","","","ученая степень","Образование","Существительные"
"desk","[dɛsk]","","","","","письменный стол","Дом, одежда, предметы быта","Существительные"
"diet","[ˈdaɪət]","","","","","диета","Еда и напитки","Существительные"
"dinner","[ˈdɪnə]","","","","","обед","Еда и напитки","Существительные"
"diploma","[dɪˈpləʊmə]","","","","","диплом","Образование","Существительные"
"dishes","[ˈdɪʃɪz]","","","","","тарелки","Дом, одежда, предметы быта","Существительные"
"distgusting","[dɪstgˈʌstɪŋ]","","","","","мерзкий","Различные качества и свойства","Прилагательные"
"do","[duː]","","","","","делать","Наиболее употребительные глаголы","Глаголы"
"do cleaning, clean","[duː ˈkliːnɪŋ] [kliːn]","","","","","убираться","Глаголы, обозначающие повседневные дела","Глаголы"
"do dishes","[duː dɪʃɪz]","","","","","мыть посуду","Глаголы, обозначающие повседневные дела","Глаголы"
"do the laundry","[duː ðə ˈlɔːndri]","","","","","заниматься стиркой","Глаголы, обозначающие повседневные дела","Глаголы"
"dog","[dɒg]","","","","","собака","Природа","Существительные"
"domestic animal","[dəʊˈmɛstɪk ˈænɪməl]","","","","","домашнее животное","Природа","Существительные"
"door","[dɔː]","","","","","дверь","Дом, одежда, предметы быта","Существительные"
"doorbell","[ˈdɔːbɛl]","","","","","дверной звонок","Дом, одежда, предметы быта","Существительные"
"dress","[drɛs]","","","","","платье","Дом, одежда, предметы быта","Существительные"
"drink","[drɪŋk]","","beverage","[ˈbɛvərɪʤ]","","напиток","Еда и напитки","Существительные"
"drive","[draɪv]","","","","","вести машину","Основные глаголы движения","Глаголы"
"duties","[ˈdjuːtiz]","","","","","обязанности","Работа и деньги","Существительные"
"early","[ˈɜːli]","","","","","рано","Наречия времени","Наречия"
"Earth","[ɜːθ]","","","","","Земля","Природа","Существительные"
"East","[iːst]","","","","","восток","Природа","Существительные"
"easy","[ˈiːzi]","","simple","[ˈsɪmpl]","","простой","Различные качества и свойства","Прилагательные"
"eat","[iːt]","","","","","есть","Глаголы, обозначающие повседневные дела","Глаголы"
"education","[ˌɛdju(ː)ˈkeɪʃən]","","","","","образование","Образование","Существительные"
"embassy","[ˈɛmbəsi]","","","","","посольство","Город","Существительные"
"emergency","[ɪˈmɜːʤənsi]","","","","","чрезвычайная ситуация","Город","Существительные"
"employee","[ˌɛmplɔɪˈiː]","","","","","работник","Работа и деньги","Существительные"
"employer","[ɪmˈplɔɪə]","","","","","работодатель","Работа и деньги","Существительные"
"end","[ɛnd]","","","","","прекращать","Этапы действия","Глаголы"
"engagement","[ɪnˈgeɪʤmənt]","","","","","помолвка","Семья, родственники","Существительные"
"enough","[ɪˈnʌf]","","","","","достаточно","Наречия меры и степени","Наречия"
"every day","[ˈɛvri deɪ]","","","","","каждый день","Наречия времени","Наречия"
"exam","[ɪgˈzæm]","","examination","[ɪgˌzæmɪˈneɪʃən]","","экзамен","Образование","Существительные"
"expensive","[ɪksˈpɛnsɪv]","","","","","дорогой","Различные качества и свойства","Прилагательные"
"explain","[ɪksˈpleɪn]","","","","","объяснять","Глаголы речи, общения","Глаголы"
"fall","[fɔːl]","US","autumn","[ˈɔːtəm]","UK","осень","Месяцы, времена года, дни недели","Существительные"
"false","[fɔːls]","","","","","ложный","Различные качества и свойства","Прилагательные"
"family","[ˈfæmɪli]","","","","","семья","Семья, родственники","Существительные"
"fast","[fɑːst]","","","","","быстро","Наречия образа действия","Наречия"
"father","[ˈfɑːðə]","","","","","отец","Семья, родственники","Существительные"
"father-in-law","[ˈfɑːðərɪnlɔː]","","","","","тесть","Семья, родственники","Существительные"
"February","[ˈfɛbrʊəri]","","","","","февраль","Месяцы, времена года, дни недели","Существительные"
"fiancé","[fɪ'ɑːn(t)seɪ]","","groom/bridegroom","[grʊm] [ˈbraɪdgrʊm]","","жених","Семья, родственники","Существительные"
"fiancée","[fɪ'ɑːn(t)seɪ]","","bride","[braɪd]","","невеста","Семья, родственники","Существительные"
"fine","[faɪn]","","","","","штраф","Работа и деньги","Существительные"
"finish","[ˈfɪnɪʃ]","","","","","заканчивать","Этапы действия","Глаголы"
"fire","[ˈfaɪə]","","","","","огонь","Природа","Существительные"
"fish","[fɪʃ]","","","","","рыба","Еда и напитки","Существительные"
"floor","[flɔː]","","","","","пол, этаж","Дом, одежда, предметы быта","Существительные"
"flower","[ˈflaʊə]","","","","","цветок","Природа","Существительные"
"fly","[flaɪ]","","","","","летать","Основные глаголы движения","Глаголы"
"food","[fuːd]","","","","","еда","Еда и напитки","Существительные"
"forget","[fəˈgɛt]","","","","","забывать","Глаголы речи, общения","Глаголы"
"fork","[fɔːk]","","","","","вилка","Дом, одежда, предметы быта","Существительные"
"fork","[fɔːk]","","","","","вилка","Еда и напитки","Существительные"
"Friday","[ˈfraɪdeɪ]","","","","","пятница","Месяцы, времена года, дни недели","Существительные"
"fridge","[frɪʤ]","","refrigerator","[rɪˈfrɪʤəreɪtə]","","холодильник","Еда и напитки","Существительные"
"friend","[frɛnd]","","","","","друг","Семья, родственники","Существительные"
"fruit","[fruːt]","","","","","фрукты","Еда и напитки","Существительные"
"funeral","[ˈfjuːnərəl]","","","","","похороны","Семья, родственники","Существительные"
"funny","[ˈfʌni]","","","","","смешной","Различные качества и свойства","Прилагательные"
"furniture","[ˈfɜːnɪʧə]","","","","","мебель","Дом, одежда, предметы быта","Существительные"
"future","[ˈfjuːʧə]","","","","","будущее","Единицы времени, слова на тему ""Время""","Существительные"
"get","[gɛt]","","","","","получать, становиться","Наиболее употребительные глаголы","Глаголы"
"get dressed","[gɛt drɛst]","","","","","одеваться","Глаголы, обозначающие повседневные дела","Глаголы"
"girl","[gɜːl]","","","","","девочка","Семья, родственники","Существительные"
"girlfriend","[ˈgɜːlˌfrɛnd]","","","","","подруга","Семья, родственники","Существительные"
"give","[gɪv]","","","","","давать","Ручные действия","Глаголы"
"glass","[glɑːs]","","","","","стакан","Еда и напитки","Существительные"
"gloves","[glʌvz]","","","","","перчатки","Дом, одежда, предметы быта","Существительные"
"go","[gəʊ]","","","","","идти","Наиболее употребительные глаголы","Глаголы"
"go on","[gəʊ ɒn]","","","","","продолжать","Этапы действия","Глаголы"
"go to bed","[gəʊ tuː bɛd]","","","","","идти спать","Глаголы, обозначающие повседневные дела","Глаголы"
"go to work","[gəʊ tuː wɜːk]","","","","","идти на работу","Глаголы, обозначающие повседневные дела","Глаголы"
"gold","[gəʊld]","","","","","золотой","Цвета","Прилагательные"
"good","[gʊd]","","","","","хороший","Качества, характер человека","Прилагательные"
"grade","[greɪd]","","","","","ученая степень","Образование","Существительные"
"graduate","[ˈgrædjʊət]","","","","","выпускник","Образование","Существительные"
"grandfather","[ˈgrændˌfɑːðə]","","","","","дедушка","Семья, родственники","Существительные"
"grandmother","[ˈgrænˌmʌðə]","","","","","бабушка","Семья, родственники","Существительные"
"grandparents","[ˈgrænˌpeərənts]","","","","","бабушки и дедушки","Семья, родственники","Существительные"
"green","[griːn]","","","","","зеленый","Цвета","Прилагательные"
"grey","[greɪ]","","gray","","","серый","Цвета","Прилагательные"
"ground","[graʊnd]","","","","","земля","Природа","Существительные"
"guy","[gaɪ]","","","","","парень","Семья, родственники","Существительные"
"half an hour","[hɑːf ən ˈaʊə]","","","","","полчаса","Единицы времени, слова на тему ""Время""","Существительные"
"hall","[hɔːl]","","","","","зал","Дом, одежда, предметы быта","Существительные"
"hall, hallway","[hɔːl] [ˈhɔːlweɪ]","","","","","коридор","Дом, одежда, предметы быта","Существительные"
"happy","[ˈhæpi]","","","","","счастливый","Качества, характер человека","Прилагательные"
"hard","[hɑːd]","","","","","жесткий","Различные качества и свойства","Прилагательные"
"hard","[hɑːd]","","difficult","[ˈdɪfɪkəlt]","","сложный","Различные качества и свойства","Прилагательные"
"hardworking","[ˈhɑːdˌwɜːkɪŋ]","","","","","трудолюбивый","Качества, характер человека","Прилагательные"
"hat","[hæt]","","","","","шляпа","Дом, одежда, предметы быта","Существительные"
"have","[hæv]","","","","","иметь","Наиболее употребительные глаголы","Глаголы"
"have breakfast","[hæv ˈbrɛkfəst]","","","","","завтракать","Глаголы, обозначающие повседневные дела","Глаголы"
"have fun","[hæv fʌn]","","","","","развлекаться","Глаголы, обозначающие повседневные дела","Глаголы"
"health","[hɛlθ]","","","","","здоровье","Работа и деньги","Существительные"
"hear","[hɪə]","","","","","слышать","Глаголы речи, общения","Глаголы"
"heat","[hiːt]","","","","","жара","Природа","Существительные"
"heavy","[ˈhɛvi]","","","","","тяжелый","Вес и размер","Прилагательные"
"help","[hɛlp]","","","","","помогать","Глаголы речи, общения","Глаголы"
"helpful","[ˈhɛlpfʊl]","","","","","готовый помочь","Качества, характер человека","Прилагательные"
"here","[hɪə]","","","","","здесь","Наречия места","Наречия"
"high","[haɪ]","","","","","высокий","Вес и размер","Прилагательные"
"hint","[hɪnt]","","","","","подсказывать","Глаголы речи, общения","Глаголы"
"hit","[hɪt]","","","","","бить","Ручные действия","Глаголы"
"hold","[həʊld]","","","","","держать","Ручные действия","Глаголы"
"home","[həʊm]","","","","","дом","Дом, одежда, предметы быта","Существительные"
"honest","[ˈɒnɪst]","","","","","честный","Качества, характер человека","Прилагательные"
"horse","[hɔːs]","","","","","лошадь","Природа","Существительные"
"hospital","[ˈhɒspɪtl]","","","","","больница","Город","Существительные"
"hot","[hɒt]","","","","","горячий","Различные качества и свойства","Прилагательные"
"hotel","[həʊˈtɛl]","","","","","гостиница","Город","Существительные"
"hour","[ˈaʊə]","","","","","час","Единицы времени, слова на тему ""Время""","Существительные"
"house","[haʊs]","","","","","дом","Дом, одежда, предметы быта","Существительные"
"human","[ˈhjuːmən]","","","","","человек","Семья, родственники","Существительные"
"husband","[ˈhʌzbənd]","","","","","муж","Семья, родственники","Существительные"
"inside","[ɪnˈsaɪd]","","","","","внутри","Наречия места","Наречия"
"interesting","[ˈɪntrɪstɪŋ]","","","","","интересный","Различные качества и свойства","Прилагательные"
"intersection","[ˌɪntə(ː)ˈsɛkʃən]","","","","","перекресток","Город","Существительные"
"jacket","[ˈʤækɪt]","","","","","пиджак","Дом, одежда, предметы быта","Существительные"
"January","[ˈʤænjʊəri]","","","","","январь","Месяцы, времена года, дни недели","Существительные"
"jeans","[ʤiːnz]","","","","","джинсы","Дом, одежда, предметы быта","Существительные"
"job","[ʤɒb]","","","","","работа","Работа и деньги","Существительные"
"job interview","[ʤɒb ˈɪntəvjuː]","","","","","собеседование","Работа и деньги","Существительные"
"juice","[ʤuːs]","","","","","сок","Еда и напитки","Существительные"
"July","[ʤuˈlaɪ]","","","","","июль","Месяцы, времена года, дни недели","Существительные"
"jump","[ʤʌmp]","","","","","прыгать","Основные глаголы движения","Глаголы"
"June","[ʤuːn]","","","","","июнь","Месяцы, времена года, дни недели","Существительные"
"key","[kiː]","","","","","ключ","Дом, одежда, предметы быта","Существительные"
"kind","[kaɪnd]","","","","","добрый","Качества, характер человека","Прилагательные"
"kitchen","[ˈkɪʧɪn]","","","","","кухня","Дом, одежда, предметы быта","Существительные"
"knife","[naɪf]","","","","","нож","Дом, одежда, предметы быта","Существительные"
"knock","[nɒk]","","","","","стучать","Ручные действия","Глаголы"
"lamp","[læmp]","","","","","лампа","Дом, одежда, предметы быта","Существительные"
"laptop","[ˈlæpˌtɒp]","","","","","ноутбук","Дом, одежда, предметы быта","Существительные"
"large","[lɑːʤ]","","great, huge, enormous","[greɪt], [hjuːʤ], [ɪˈnɔːməs]","","огромный","Вес и размер","Прилагательные"
"late","[leɪt]","","","","","поздно","Наречия времени","Наречия"
"lately","[ˈleɪtli]","","","","","в последнее время","Наречия времени","Наречия"
"lazy","[ˈleɪzi]","","","","","ленивый","Качества, характер человека","Прилагательные"
"learn","[lɜːn]","","","","","учиться","Глаголы речи, общения","Глаголы"
"lie","[laɪ]","","","","","лежать","Основные глаголы движения","Глаголы"
"lie down","[laɪ daʊn]","","","","","ложиться","Основные глаголы движения","Глаголы"
"light","[laɪt]","","","","","светлый","Цвета","Прилагательные"
"light","[laɪt]","","lightweight","[ˈlaɪtweɪt]","","легкий","Вес и размер","Прилагательные"
"light bulb","[laɪt bʌlb]","","","","","лампочка","Дом, одежда, предметы быта","Существительные"
"linens","[ˈlɪnɪnz]","","","","","постельное белье","Дом, одежда, предметы быта","Существительные"
"liquid","[ˈlɪkwɪd]","","","","","жидкий","Различные качества и свойства","Прилагательные"
"listen","[ˈlɪsn]","","","","","слушать","Глаголы речи, общения","Глаголы"
"little","[ˈlɪtl]","","","","","маленький","Вес и размер","Прилагательные"
"little","[ˈlɪtl]","","","","","мало","Наречия меры и степени","Наречия"
"live","[lɪv]","","","","","жить","Глаголы, обозначающие повседневные дела","Глаголы"
"living room","[ˈlɪvɪŋ ruːm]","","","","","гостиная","Дом, одежда, предметы быта","Существительные"
"lock","[lɒk]","","","","","замок","Дом, одежда, предметы быта","Существительные"
"long","[lɒŋ]","","","","","длинный","Вес и размер","Прилагательные"
"love","[lʌv]","","","","","любовь","Семья, родственники","Существительные"
"lunch","[lʌnʧ]","","","","","ланч","Еда и напитки","Существительные"
"magazine","[ˌmægəˈziːn]","","","","","журнал","Дом, одежда, предметы быта","Существительные"
"make","[meɪk]","","","","","делать","Наиболее употребительные глаголы","Глаголы"
"make a mistake","[meɪk ə mɪsˈteɪk]","","","","","делать ошибку","Глаголы речи, общения","Глаголы"
"make breakfast","[meɪk ˈbrɛkfəst]","","","","","готовить завтрак","Глаголы, обозначающие повседневные дела","Глаголы"
"mall","[mɔːl]","","","","","торговый центр","Город","Существительные"
"man","[mæn]","","","","","мужчина","Семья, родственники","Существительные"
"map","[mæp]","","","","","карта","Город","Существительные"
"March","[mɑːʧ]","","","","","март","Месяцы, времена года, дни недели","Существительные"
"mark","[mɑːk]","","grade","[greɪd]","","оценка","Образование","Существительные"
"marriage","[ˈmærɪʤ]","","","","","брак","Семья, родственники","Существительные"
"May","[meɪ]","","","","","май","Месяцы, времена года, дни недели","Существительные"
"meal","[miːl]","","","","","блюдо","Еда и напитки","Существительные"
"mean","[miːn]","","","","","злой","Качества, характер человека","Прилагательные"
"meat","[miːt]","","","","","мясо","Еда и напитки","Существительные"
"microwave","[ˈmaɪkrəʊweɪv]","","","","","микроволновая печь","Дом, одежда, предметы быта","Существительные"
"millennium","[mɪlˈiːnɪəːm]","","","","","тысячелетие","Единицы времени, слова на тему ""Время""","Существительные"
"minute","[ˈmɪnɪt]","","","","","минута","Единицы времени, слова на тему ""Время""","Существительные"
"mirror","[ˈmɪrə]","","","","","зеркало","Дом, одежда, предметы быта","Существительные"
"mom","[mɒm]","US","mum","[mʌm]","UK","мама","Семья, родственники","Существительные"
"Monday","[ˈmʌndeɪ]","","","","","понедельник","Месяцы, времена года, дни недели","Существительные"
"money","[ˈmʌni]","","","","","деньги","Работа и деньги","Существительные"
"money transfer","[ˈmʌni ˈtrænsfə(ː)]","","","","","денежный перевод","Работа и деньги","Существительные"
"month","[mʌnθ]","","","","","месяц","Единицы времени, слова на тему ""Время""","Существительные"
"Moon","[muːn]","","","","","луна","Природа","Существительные"
"mother","[ˈmʌðə]","","","","","мать","Семья, родственники","Существительные"
"mother-in-law","[ˈmʌðərɪnlɔː]","","","","","теща","Семья, родственники","Существительные"
"mouse","[maʊs]","","","","","мышь","Природа","Существительные"
"move","[muːv]","","","","","двигать","Основные глаголы движения","Глаголы"
"movie","[ˈmuːvi]","","film","[fɪlm]","","фильм","Дом, одежда, предметы быта","Существительные"
"much","[mʌʧ]","","","","","много","Наречия меры и степени","Наречия"
"mug","[mʌg]","","","","","кружка","Еда и напитки","Существительные"
"narrow","[ˈnærəʊ]","","","","","узкий","Вес и размер","Прилагательные"
"nature","[ˈneɪʧə]","","","","","природа","Природа","Существительные"
"neighbour","[ˈneɪbə]","","neighbor","","","сосед","Дом, одежда, предметы быта","Существительные"
"nephew","[ˈnɛvju(ː)] [ˈnɛfju(ː)]","","","","","племянник","Семья, родственники","Существительные"
"never","[ˈnɛvə]","","","","","никогда","Наречия времени","Наречия"
"newspaper","[ˈnjuːzˌpeɪpə]","","","","","газета","Дом, одежда, предметы быта","Существительные"
"next week","[nɛkst wiːk]","","","","","на следующей неделе","Наречия времени","Наречия"
"nice","[naɪs]","","","","","приятный","Качества, характер человека","Прилагательные"
"niece","[niːs]","","","","","племянница","Семья, родственники","Существительные"
"North","[nɔːθ]","","","","","север","Природа","Существительные"
"not yet","[nɒt jɛt]","","","","","еще не","Наречия времени","Наречия"
"notebook","[ˈnəʊtbʊk]","","copybook","[ˈkɒpɪbʊk]","","тетрадь","Образование","Существительные"
"notepad","[ˈnəʊtˌpæd]","","","","","блокнот","Образование","Существительные"
"November","[nəʊˈvɛmbə]","","","","","ноябрь","Месяцы, времена года, дни недели","Существительные"
"now","[naʊ]","","","","","сейчас","Наречия времени","Наречия"
"nowhere","[ˈnəʊweə]","","","","","нигде","Наречия места","Наречия"
"October","[ɒkˈtəʊbə]","","","","","октябрь","Месяцы, времена года, дни недели","Существительные"
"office","[ˈɒfɪs]","","","","","офис","Работа и деньги","Существительные"
"often","[ˈɒf (t)(ə)n]","","","","","часто","Наречия времени","Наречия"
"oil","[ɔɪl]","","","","","растительное масло","Еда и напитки","Существительные"
"old","[əʊld]","","","","","старый","Качества, характер человека","Прилагательные"
"once","[wʌns]","","","","","однажды","Наречия времени","Наречия"
"only","[ˈəʊnli]","","","","","только","Наречия меры и степени","Наречия"
